City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
5975503,Hinton,57,CA,1597839586,72,53.4,-117.59,52.05,1.48
2017155,Saskylakh,39,RU,1597839586,61,71.92,114.08,46.11,6.24
935215,Saint-Philippe,90,RE,1597839587,53,-21.36,55.77,77.0,3.36
2077895,Alice Springs,43,AU,1597839587,22,-23.7,133.88,59.0,1.12
3167520,Santa Marinella,25,IT,1597839587,43,42.03,11.85,84.99,14.34
3691954,Sechura,98,PE,1597839587,81,-5.56,-80.82,61.92,11.27
5110365,Broome,1,US,1597839587,87,42.25,-75.83,57.99,5.82
2121385,Severo-Kuril'sk,100,RU,1597839588,92,50.68,156.12,50.18,16.28
3932145,Pisco,90,PE,1597839382,87,-13.7,-76.22,60.8,3.36
2123814,Leningradskiy,31,RU,1597839588,56,69.38,178.42,47.3,10.07
3628473,San Cristobal,40,VE,1597839588,83,7.77,-72.22,75.2,2.24
2155562,Nelson Bay,40,AU,1597839589,38,-32.72,152.15,60.8,25.28
1631905,Payakumbuh,96,ID,1597839589,88,-0.22,100.63,73.92,1.54
6162951,Terrace Bay,90,CA,1597839581,100,48.78,-87.1,48.2,2.24
5546220,Saint George,1,US,1597839589,28,37.1,-113.58,82.4,9.17
762643,Parczew,40,PL,1597839590,73,51.64,22.9,75.99,5.82
3703239,Pedasí,100,PA,1597839590,82,7.53,-80.03,78.58,3.47
625367,Masty,75,BY,1597839590,73,53.41,24.54,71.6,2.24
3421193,Paamiut,0,GL,1597839590,64,61.99,-49.67,46.8,9.69
5855927,Hilo,1,US,1597839591,78,19.73,-155.09,71.6,6.93
463516,Zharkovskiy,100,RU,1597839546,60,55.85,32.27,66.9,7.09
3984997,San Quintín,0,MX,1597839591,78,30.48,-115.95,73.58,4.0
1164306,Surab,5,PK,1597839591,19,28.49,66.26,89.33,18.1
2377457,Nouadhibou,12,MR,1597839592,69,20.93,-17.03,77.0,20.8
3868308,Vicuña,100,CL,1597839592,77,-30.03,-70.71,43.0,0.72
5282297,Bethel,90,US,1597839592,93,41.37,-73.41,63.0,2.42
882100,Rusape,1,ZW,1597839593,23,-18.53,32.13,81.05,10.98
2120591,Tilichiki,100,RU,1597839593,91,60.47,166.1,46.85,5.35
3546791,Moa,8,CU,1597839594,84,20.66,-74.94,81.23,6.98
1529484,Kumul,26,CN,1597839594,14,42.8,93.45,94.39,21.3
1337618,Manadhoo,80,MV,1597839594,68,5.77,73.38,83.3,9.26
6148373,Sioux Lookout,75,CA,1597839594,93,50.1,-91.92,60.8,6.93
1855342,Nishihara,20,JP,1597839594,74,26.18,127.76,86.0,8.05
3579925,St. George's,81,GD,1597839438,78,12.06,-61.75,82.0,14.56
2094027,Kieta,42,PG,1597839594,74,-6.22,155.63,79.65,0.63
5746545,Portland,1,US,1597839093,77,45.52,-122.68,62.01,0.72
5955902,Fort Nelson,90,CA,1597839444,100,58.81,-122.7,50.0,2.24
5367788,Lompoc,1,US,1597839595,82,34.64,-120.46,64.99,1.5
4035715,Avarua,56,CK,1597839595,81,-21.21,-159.78,73.8,27.27
3416888,Grindavik,90,IS,1597839595,100,63.84,-22.43,50.0,9.17
2012530,Zhigansk,6,RU,1597839595,55,66.77,123.37,48.24,19.08
2174444,Bowen,0,AU,1597839595,88,-20.02,148.23,70.0,12.75
1640344,Kendari,16,ID,1597839596,76,-3.94,122.5,74.39,4.76
3897347,Calama,0,CL,1597839596,39,-22.47,-68.93,30.2,5.82
3444105,San Matías,0,BO,1597839596,23,-16.37,-58.4,87.1,7.11
2264557,Ponta do Sol,1,PT,1597839596,61,32.67,-17.1,77.0,7.14
3460087,Jardim,85,BR,1597839597,86,-21.48,-56.14,70.77,7.23
1337607,Kudahuvadhoo,87,MV,1597839597,63,2.67,72.89,83.57,3.53
2122605,Okhotsk,100,RU,1597839597,83,59.38,143.3,53.76,12.33
964420,Port Elizabeth,75,ZA,1597839598,76,-33.92,25.57,55.4,19.46
1865290,Annaka,92,JP,1597839598,70,36.32,138.9,80.01,3.0
909887,Luangwa,49,ZM,1597839598,18,-15.62,30.42,99.05,5.46
2032201,Bulgan,17,MN,1597839598,77,48.81,103.53,61.52,1.9
1259385,Port Blair,82,IN,1597839598,78,11.67,92.75,82.96,15.1
1819729,Hong Kong,100,HK,1597839470,78,22.29,114.16,82.0,5.99
5364271,Laguna,90,US,1597839599,53,38.42,-121.42,75.99,2.82
3927158,Torata,61,PE,1597839600,42,-17.08,-70.84,52.66,1.61
3388847,São Félix do Xingu,1,BR,1597839600,42,-6.64,-51.99,89.78,1.36
3355672,Lüderitz,0,NA,1597839600,25,-26.65,15.16,68.4,16.37
1267390,Kavaratti,100,IN,1597839600,78,10.57,72.64,82.08,12.01
3445459,Várzea da Palma,0,BR,1597839601,49,-17.6,-44.73,77.92,7.99
3448636,São José dos Campos,16,BR,1597839554,93,-23.18,-45.89,62.6,2.24
3451234,Rio Claro,90,BR,1597839382,100,-22.41,-47.56,69.01,1.12
3430863,Mar del Plata,75,AR,1597839446,93,-38.0,-57.56,46.99,5.82
686090,Asău,98,RO,1597839602,62,46.43,26.4,77.0,4.56
1847947,Shingū,46,JP,1597839602,87,33.73,135.98,78.19,3.29
1517060,Zaysan,56,KZ,1597839602,21,47.47,84.87,79.72,7.47
2122104,Petropavlovsk-Kamchatskiy,90,RU,1597839603,100,53.05,158.65,51.8,11.18
58933,Garoowe,87,SO,1597839603,44,8.41,48.48,86.49,23.71
3141310,Rørvik,75,NO,1597839346,82,64.86,11.24,57.2,9.17
5356012,Healdsburg,90,US,1597839604,63,38.61,-122.87,66.99,3.58
2643044,Margate,100,GB,1597839532,76,51.38,1.39,72.0,5.99
1268540,Kakrāla,100,IN,1597839604,70,27.9,79.2,89.38,6.02
1106643,Quatre Cocos,40,MU,1597839558,60,-20.21,57.76,75.2,17.22
3894426,Coyhaique,39,CL,1597839604,86,-45.58,-72.07,30.2,4.7
1687894,Santa Rosa,99,PH,1597839605,88,14.31,121.11,80.6,5.82
4393451,Kennett,1,US,1597839605,94,36.24,-90.06,68.0,10.29
1214965,Kabanjahe,84,ID,1597839605,96,3.1,98.49,67.51,0.74
2610343,Vestmanna,95,FO,1597839605,66,62.16,-7.17,55.4,9.17
